category,prompt_en
Pose,Look upward with neutral expression
Pose,Look downward subtle facial detail
Pose,Overhead top view realistic face
Pose,Low angle upward face perspective
Color/Lighting,Warm tone skin natural highlight
Color/Lighting,Cool tone skin balanced contrast
Color/Lighting,High contrast black white face
Color/Lighting,Soft daylight neutral skin tone
Color/Lighting,Golden hour warm skin reflection
Color/Lighting,Subtle blue tone face highlight
Color/Lighting,Sepia tone face realistic detail
Color/Lighting,Studio spotlight clear skin shadow
Color/Lighting,Film grain effect natural portrait
Color/Lighting,Cinematic orange teal skin balance
Resolution/Detail,Slightly enhance facial resolution
Resolution/Detail,Sharpen eye detail realistic skin
Resolution/Detail,Smooth skin keep visible pores
Resolution/Detail,High definition skin fine detail
Resolution/Detail,Upscale face resolution subtle sharpness
Resolution/Detail,Balanced clarity keep wrinkles natural
Resolution/Detail,Subtle retouch natural face tone
Resolution/Detail,HDR skin highlight natural contrast
Resolution/Detail,Blur background keep face sharp
Resolution/Detail,Film grain subtle realistic detail
Accessories,Add round glasses clear thin frame
Accessories,Add rectangular glasses silver frame
Accessories,Add sunglasses dark reflective lens
Accessories,Add transparent reading glasses
Accessories,Add black baseball cap on head
Accessories,Add knitted beanie covering head
Accessories,Add wide brim hat natural shadow
Accessories,Add straw hat soft facial shadow
Accessories,Add scarf covering lower face
Accessories,Add surgical mask covering nose mouth
Natural Edit,Adjust skin tone slightly lighter
Natural Edit,Adjust skin tone slightly darker
Natural Edit,Enhance lip color keep natural look
Natural Edit,Slightly increase eyebrow thickness
Natural Edit,Add subtle blush cheek natural tone
Natural Edit,Enhance hair sharpness realistic detail
Natural Edit,Add gentle shadow on facial contour
Natural Edit,Increase lighting on upper face
Natural Edit,Reduce facial shine keep matte texture
Natural Edit,Slightly open mouth natural expression
Natural Edit,Closed eyes gentle facial relaxation
Natural Edit,One eye winking natural skin detail
Natural Edit,Eyebrows raised subtle surprise look
Natural Edit,Eyes looking sideways natural focus
Natural Edit,Soft smile keep realistic face tone
